"n-1" "n" "frequency"
"of" "the" 28727
"in" "the" 27272
"for" "the" 14879
"to" "the" 14726
"on" "the" 14002
"to" "be" 12605
"at" "the" 9821
"and" "the" 8642
"i" "have" 8163
"in" "a" 8031
"is" "a" 7956
"i" "was" 7733
"it" "was" 7466
"and" "i" 7432
"with" "the" 7417
"i" "am" 7269
"for" "a" 7131
"it" "is" 6900
"if" "you" 6432
"going" "to" 6378
"have" "a" 6218
"is" "the" 5997
"will" "be" 5905
"from" "the" 5791
"to" "get" 5780
"of" "a" 5508
"with" "a" 5446
"one" "of" 5250
"want" "to" 5232
"i" "love" 5168
"that" "i" 5072
"this" "is" 4928
"i" "think" 4920
"i" "don't" 4903
"have" "to" 4882
"to" "do" 4744
"but" "i" 4643
"as" "a" 4594
"to" "see" 4587
"thanks" "for" 4511
"all" "the" 4427
"out" "of" 4327
"of" "my" 4204
"you" "can" 4182
"was" "a" 4161
"you" "are" 4080
"by" "the" 4039
"in" "my" 4037
"that" "the" 3983
"and" "a" 3947
"need" "to" 3842
"on" "a" 3839
"thank" "you" 3835
"when" "i" 3830
"i" "can" 3816
"the" "same" 3813
"to" "a" 3741
"i" "had" 3741
"be" "a" 3699
"the" "first" 3692
"you" "have" 3650
"a" "lot" 3600
"to" "make" 3590
"a" "few" 3588
"a" "great" 3578
"i" "know" 3572
"have" "been" 3408
"a" "little" 3404
"to" "go" 3396
"i" "just" 3370
"we" "are" 3367
"the" "best" 3331
"would" "be" 3303
"a" "good" 3278
"so" "i" 3133
"had" "a" 3102
"do" "you" 3101
"i" "will" 3099
"to" "have" 3085
"they" "are" 3078
"about" "the" 3069
"that" "is" 3051
"there" "is" 2927
"so" "much" 2922
"on" "my" 2819
"like" "a" 2813
"has" "been" 2804
"are" "you" 2768
"is" "not" 2751
"the" "world" 2740
"i" "would" 2732
"you" "know" 2727
"as" "the" 2660
"he" "was" 2613
"we" "have" 2608
"into" "the" 2598
"if" "i" 2566
"there" "are" 2564
"a" "new" 2506
"trying" "to" 2493
"i" "want" 2467
"for" "me" 2466
"to" "me" 2453
"and" "then" 2453
"all" "of" 2443
"more" "than" 2409
"i" "can't" 2382
"back" "to" 2371
"the" "most" 2368
"when" "you" 2325
"the" "new" 2314
"lot" "of" 2296
"to" "my" 2267
"time" "to" 2239
"right" "now" 2237
"go" "to" 2235
"the" "way" 2228
"i" "could" 2221
"as" "well" 2215
"part" "of" 2212
"what" "i" 2153
"over" "the" 2144
"was" "the" 2129
"some" "of" 2129
"me" "to" 2126
"at" "least" 2116
"the" "time" 2107
"the" "other" 2095
"and" "it" 2094
"able" "to" 2081
"is" "that" 2080
"i'm" "not" 2077
"it's" "a" 2056
"the" "last" 2044
"in" "this" 2039
"can" "be" 2039
"i" "need" 2036
"with" "my" 2034
"way" "to" 2025
"i" "got" 2005
"of" "course" 1991
"i" "do" 1986
"a" "bit" 1971
"but" "the" 1969
"that" "you" 1965
"as" "i" 1933
"had" "to" 1923
"up" "to" 1916
"should" "be" 1908
"the" "only" 1886
"that" "was" 1880
"i" "hope" 1877
"to" "take" 1859
"the" "next" 1854
"kind" "of" 1853
"of" "this" 1852
"to" "say" 1851
"the" "day" 1842
"love" "you" 1819
"but" "it" 1793
"for" "you" 1786
"at" "a" 1774
"to" "you" 1773
"for" "my" 1769
"of" "our" 1763
"be" "the" 1727
"how" "to" 1726
"the" "end" 1710
"like" "to" 1710
"get" "a" 1709
"i" "didn't" 1699
"he" "is" 1690
"that" "we" 1682
"i" "feel" 1674
"are" "the" 1648
"not" "a" 1646
"i" "thought" 1644
"me" "i" 1643
"can't" "wait" 1641
"they" "were" 1627
"like" "the" 1618
"of" "his" 1606
"has" "a" 1586
"it" "to" 1584
"i" "like" 1577
"don't" "know" 1568
"that" "he" 1562
"what" "you" 1561
"have" "the" 1559
"of" "your" 1538
"that" "it" 1532
"you" "to" 1531
"you" "want" 1531
"we" "can" 1527
"to" "work" 1527
"in" "your" 1523
"and" "that" 1522
"i" "did" 1514
"it" "i" 1514
"and" "we" 1506
"you" "don't" 1502
"i" "get" 1499
"this" "year" 1496
"me" "and" 1494
"last" "night" 1487
"and" "you" 1486
"see" "you" 1485
"this" "week" 1485
"up" "and" 1483
"of" "them" 1479
"up" "with" 1479
"which" "is" 1479
"wanted" "to" 1472
"forward" "to" 1472
"you" "will" 1471
"when" "the" 1468
"such" "a" 1467
"through" "the" 1464
"up" "the" 1463
"what" "is" 1455
"out" "the" 1452
"we" "were" 1446
"to" "find" 1442
"there" "was" 1437
"would" "have" 1433
"is" "to" 1429
"of" "you" 1427
"from" "a" 1422
"my" "life" 1418
"i" "really" 1418
"know" "what" 1395
"she" "was" 1394
"do" "it" 1393
"out" "to" 1391
"is" "it" 1389
"it" "would" 1382
"make" "it" 1381
"of" "it" 1377
"he" "said" 1371
"now" "i" 1364
"not" "to" 1360
"end" "of" 1358
"did" "you" 1352
"do" "not" 1349
"it's" "not" 1342
"into" "a" 1340
"it" "will" 1339
"that" "they" 1338
"you" "and" 1333
"it" "and" 1329
"of" "their" 1325
"make" "a" 1317
"you" "for" 1310
"because" "i" 1301
"get" "to" 1298
"about" "it" 1298
"for" "your" 1294
"a" "couple" 1294
"to" "know" 1289
"they" "have" 1288
"with" "you" 1281
"in" "his" 1280
"on" "your" 1279
"time" "i" 1278
"a" "very" 1278
"just" "a" 1264
"follow" "me" 1264
"got" "a" 1263
"i" "hate" 1260
"used" "to" 1259
"i've" "been" 1254
"to" "come" 1251
"a" "big" 1250
"let" "me" 1247
"to" "help" 1242
"the" "one" 1232
"is" "so" 1229
"to" "keep" 1226
"most" "of" 1225
"see" "the" 1218
"for" "this" 1215
"is" "in" 1211
"looking" "for" 1211
"to" "all" 1204
"and" "they" 1203
"on" "this" 1202
"no" "one" 1197
"so" "many" 1196
"it" "in" 1196
"try" "to" 1190
"what" "a" 1187
"you" "do" 1185
"the" "right" 1184
"you" "get" 1181
"a" "long" 1180
"love" "to" 1180
"get" "the" 1177
"is" "going" 1174
"not" "the" 1174
"could" "be" 1171
"look" "at" 1167
"of" "all" 1166
"i" "wish" 1163
"me" "a" 1158
"you" "think" 1158
"in" "our" 1155
"feel" "like" 1152
"know" "that" 1151
"lots" "of" 1149
"hope" "you" 1147
"at" "all" 1146
"check" "out" 1143
"take" "a" 1141
"is" "an" 1134
"because" "of" 1132
"are" "not" 1130
"of" "us" 1129
"by" "a" 1127
"up" "in" 1125
"i" "guess" 1124
"wait" "to" 1122
"of" "those" 1121
"it" "has" 1119
"off" "the" 1115
"are" "a" 1115
"around" "the" 1112
"to" "hear" 1111
"according" "to" 1109
"we" "will" 1105
"and" "my" 1105
"she" "is" 1093
"after" "the" 1089
"and" "in" 1088
"in" "and" 1085
"a" "year" 1081
"and" "he" 1077
"to" "use" 1073
"you" "guys" 1069
"been" "a" 1068
"be" "in" 1068
"he" "has" 1067
"looking" "forward" 1066
"don't" "have" 1065
"you" "i" 1064
"during" "the" 1064
"to" "give" 1064
"people" "who" 1063
"to" "your" 1061
"we" "had" 1059
"if" "the" 1056
"to" "start" 1055
"the" "rest" 1055
"in" "their" 1054
"did" "not" 1054
"with" "me" 1053
"who" "is" 1053
"may" "be" 1050
"the" "game" 1048
"ready" "to" 1047
"you" "need" 1041
"for" "all" 1038
"the" "past" 1038
"is" "my" 1038
"new" "york" 1032
"and" "i'm" 1030
"have" "you" 1026
"you" "should" 1016
"think" "i" 1014
"year" "old" 1014
"up" "on" 1013
"about" "to" 1010
"this" "weekend" 1006
"the" "top" 1005
"love" "the" 1005
"back" "in" 1005
"up" "for" 999
"be" "able" 999
"i'm" "going" 998
"out" "there" 998
"and" "not" 996
"this" "morning" 996
"had" "been" 996
"of" "these" 993
"instead" "of" 992
"thanks" "to" 987
"well" "as" 980
"it" "out" 978
"having" "a" 976
"them" "to" 976
"come" "to" 975
"couple" "of" 975
"then" "i" 975
"do" "i" 967
