"n" "frequency"
"the" 1471953
"to" 964312
"and" 799859
"a" 788513
"i" 754803
"of" 647653
"in" 514732
"you" 426988
"is" 406690
"for" 388488
"that" 361359
"it" 357682
"on" 287235
"my" 282171
"with" 240213
"this" 215732
"was" 205629
"be" 203833
"have" 199832
"at" 187420
"are" 181697
"but" 172996
"me" 172094
"so" 166833
"we" 163064
"as" 154210
"not" 153703
"all" 137104
"your" 136876
"just" 128180
"from" 121899
"out" 116634
"up" 116107
"what" 113488
"like" 113138
"or" 111034
"if" 110401
"he" 109851
"they" 109293
"one" 108094
"will" 107798
"about" 106880
"do" 101879
"i'm" 98955
"when" 96259
"by" 95902
"can" 95548
"get" 93512
"an" 92457
"time" 85661
"it's" 84897
"more" 81099
"there" 80452
"had" 77848
"his" 77768
"some" 76928
"love" 76397
"good" 76295
"no" 76195
"our" 75071
"has" 74490
"who" 74461
"now" 73838
"day" 73053
"her" 72556
"how" 72065
"know" 71054
"would" 69808
"don't" 67992
"new" 65004
"she" 63629
"been" 63341
"their" 62291
"them" 61575
"go" 59222
"see" 59117
"people" 57842
"back" 56287
"were" 54769
"great" 54440
"think" 51919
"make" 50566
"us" 50148
"too" 49322
"going" 48871
"today" 48825
"really" 48592
"thanks" 48418
"then" 48318
"only" 47801
"much" 47757
"well" 45965
"am" 45474
"rt" 44833
"got" 44271
"into" 44148
"which" 44076
"over" 43684
"want" 43568
"than" 43551
"first" 43542
"way" 43400
"because" 42185
"right" 41442
"here" 41041
"need" 40888
"work" 40808
"did" 40630
"him" 40385
"even" 40380
"other" 39740
"still" 38907
"last" 38598
"also" 38125
"life" 37867
"its" 37841
"after" 37588
"very" 37465
"off" 37320
"could" 37250
"said" 37176
"lol" 36458
"year" 34591
"any" 34523
"where" 33965
"can't" 33836
"come" 33825
"should" 33329
"never" 33230
"little" 32925
"why" 32900
"down" 32833
"these" 32764
"say" 32624
"being" 32349
"two" 32148
"take" 31735
"happy" 31306
"many" 30786
"night" 30752
"things" 30560
"most" 30546
"best" 30375
"those" 30102
"that's" 29898
"made" 29406
"something" 29217
"before" 29141
"next" 28766
"week" 28519
"always" 28426
"i've" 28220
"home" 27395
"you're" 26925
"follow" 26777
"may" 26597
"better" 26325
"look" 26137
"while" 26050
"hope" 25916
"world" 25751
"through" 25244
"years" 25188
"again" 25003
"feel" 24845
"show" 24649
"every" 24504
"around" 24324
"tonight" 24087
"sure" 24068
"long" 24025
"thank" 23922
"man" 23728
"thing" 23394
"didn't" 23381
"another" 22960
"ever" 22823
"few" 22438
"oh" 22298
"find" 22185
"big" 22030
"same" 21966
"getting" 21686
"let" 21658
"i'll" 21658
"old" 21203
"game" 21150
"school" 21120
"looking" 20951
"use" 20861
"keep" 20724
"does" 20670
